3(L)                        494_bus    494 | 5.366e+07 3.785e+07 (J: 6.374e+07) 1.417781 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         abb313    176 | 3.719e+07 3.150e+07 (J: 6.779e+07) 1.180704 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         ash219     85 | 9.150e+00 4.194e+00 (J: 4.690e+00) 2.181400 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         ash292    292 | 4.188e+07 6.047e+06 (J: 2.645e+07) 6.925535 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         ash331    104 | 9.588e+00 3.668e+00 (J: 4.084e+00) 2.614169 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          ash85     85 | 2.151e+05 1.283e+05 (J: 1.839e+05) 1.676431 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       bcspwr01     39 | 2.756e+03 1.676e+03 (J: 2.559e+03) 1.644419 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       bcspwr02     49 | 1.856e+07 6.563e+06 (J: 1.200e+07) 2.828444 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       bcspwr03    118 | 2.514e+05 1.137e+05 (J: 1.814e+05) 2.210493 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       bcspwr04    274 | 2.558e+07 6.670e+06 (J: 2.436e+07) 3.834228 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       bcspwr05    443 | 2.681e+07 7.003e+06 (J: 1.764e+07) 3.829103 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstk02     66 | 1.871e+07 2.974e+06 (J: 4.023e+06) 6.290396 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       bcsstk04    132 | 2.122e+07 2.122e+07 (J: 1.976e+02) 1.000002 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       bcsstk05    153 | 2.982e+07 2.982e+07 (J: 3.286e+06) 1.000006 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       bcsstk20    485 | 6.277e+07 6.277e+07 (J: 6.519e+05) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       bcsstk22    138 | 6.194e+07 6.194e+07 (J: 7.312e+05) 1.000010 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm01     48 | 7.782e+07 1.000e+00 (J: 1.000e+00) 77821012.667114 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm02     66 | 7.660e+01 1.000e+00 (J: 1.000e+00) 76.600488 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm03    112 | 5.569e+07 1.090e+00 (J: 1.000e+00) 51079969.812388 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm04    132 | 2.987e+04 1.000e+00 (J: 1.000e+00) 29870.715642 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm05    153 | 1.612e+02 1.000e+00 (J: 1.000e+00) 161.242958 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm06    420 | 5.512e+07 1.000e+00 (J: 1.000e+00) 55118814.028915 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm07    420 | 4.456e+07 4.136e+04 (J: 7.454e+04) 1077.283280 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm20    485 | 6.486e+07 1.000e+00 (J: 1.000e+00) 64862398.877551 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       bcsstm22    138 | 8.860e+05 1.005e+00 (J: 1.000e+00) 881645.732809 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        can_144    144 | 2.443e+07 2.269e+07 (J: 2.255e+07) 1.076716 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        can_161    161 | 4.940e+04 3.960e+04 (J: 4.615e+04) 1.247272 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        can_187    187 | 7.056e+07 3.193e+07 (J: 6.229e+07) 2.209800 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        can_229    229 | 1.891e+07 1.605e+07 (J: 1.929e+07) 1.177863 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         can_24     24 | 6.046e+03 4.025e+03 (J: 4.900e+03) 1.502264 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        can_256    256 | 7.565e+06 3.687e+06 (J: 6.533e+06) 2.051655 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        can_268    268 | 2.091e+07 8.428e+06 (J: 1.676e+07) 2.480601 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        can_292    292 | 3.699e+07 2.367e+07 (J: 1.324e+08) 1.563003 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        can_445    445 | 4.006e+07 1.350e+07 (J: 3.943e+07) 2.966395 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         can_61     61 | 2.996e+07 1.358e+07 (J: 2.925e+07) 2.206704 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         can_62     62 | 3.646e+05 2.100e+05 (J: 3.135e+05) 1.735961 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         can_73     73 | 1.270e+03 1.053e+03 (J: 1.228e+03) 1.205435 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         can_96     96 | 2.104e+04 1.733e+04 (J: 1.971e+04) 1.214304 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       curtis54     54 | 4.522e+07 1.366e+07 (J: 3.878e+07) 3.310412 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        dwt_162    162 | 3.306e+07 2.371e+07 (J: 3.449e+07) 1.394714 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        dwt_193    193 | 1.310e+07 1.039e+07 (J: 1.513e+07) 1.261419 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        dwt_198    198 | 3.397e+07 1.963e+07 (J: 3.034e+07) 1.730735 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        dwt_209    209 | 5.449e+07 9.377e+06 (J: 3.408e+07) 5.811511 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        dwt_221    221 | 6.762e+07 2.202e+07 (J: 5.672e+07) 3.070925 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        dwt_234    234 | 1.042e+05 4.006e+04 (J: 8.153e+04) 2.601190 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        dwt_245    245 | 3.634e+07 1.221e+07 (J: 3.336e+07) 2.975661 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        dwt_307    307 | 2.499e+07 2.276e+07 (J: 2.565e+07) 1.097625 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        dwt_310    310 | 1.069e+07 5.253e+06 (J: 9.304e+06) 2.034577 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        dwt_346    346 | 4.967e+07 4.014e+06 (J: 2.357e+07) 12.373924 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        dwt_361    361 | 3.879e+07 2.170e+07 (J: 3.706e+07) 1.787457 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        dwt_419    419 | 2.180e+07 1.431e+07 (J: 2.549e+07) 1.524204 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        dwt_492    492 | 3.047e+07 1.302e+07 (J: 2.418e+07) 2.340709 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         dwt_59     59 | 1.395e+04 8.580e+03 (J: 1.226e+04) 1.625712 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         dwt_66     66 | 2.234e+04 1.530e+04 (J: 2.160e+04) 1.459717 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         dwt_72     72 | 1.220e+07 5.763e+06 (J: 9.623e+06) 2.116350 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         dwt_87     87 | 1.024e+04 5.077e+03 (J: 8.223e+03) 2.017616 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       fs_183_1    183 | 7.080e+07 7.080e+07 (J: 1.973e+00) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       fs_183_3    183 | 7.365e+07 7.365e+07 (J: 1.874e+00) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       fs_183_4    183 | 6.999e+07 6.999e+07 (J: 1.976e+00) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       fs_183_6    183 | 7.740e+07 7.740e+07 (J: 1.857e+00) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        gent113    113 | 3.203e+07 8.762e+06 (J: 1.758e+07) 3.655803 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        gre_115    115 | 2.467e+03 1.835e+03 (J: 2.332e+03) 1.344571 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        gre_185    185 | 1.230e+06 9.818e+05 (J: 1.313e+06) 1.252657 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       gre_216a    216 | 1.061e+04 9.002e+03 (J: 1.145e+04) 1.178858 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        gre_343    343 | 1.254e+04 9.442e+03 (J: 1.288e+04) 1.327973 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        hor_131    434 | 4.365e+05 8.364e+04 (J: 3.197e+05) 5.218315 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          ibm32     32 | 1.633e+05 8.383e+04 (J: 1.248e+05) 1.948066 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       impcol_a    207 | 2.233e+07 4.539e+06 (J: 1.202e+07) 4.920389 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       impcol_b     59 | 3.727e+07 1.758e+06 (J: 4.031e+06) 21.195621 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       impcol_c    137 | 4.736e+07 3.129e+04 (J: 6.180e+04) 1513.759061 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       impcol_d    425 | 4.250e+06 4.160e+05 (J: 8.524e+05) 10.216942 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       impcol_e    225 | 2.384e+07 2.028e+01 (J: 2.922e+01) 1175364.627284 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         jgl009      9 | 3.723e+07 2.940e+07 (J: 3.786e+07) 1.266200 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        lns_131    131 | 4.141e+07 4.141e+07 (J: 6.921e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lnsp_131    131 | 4.141e+07 4.141e+07 (J: 6.921e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lshp_265    265 | 1.927e+06 1.145e+06 (J: 1.804e+06) 1.682115 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lshp_406    406 | 1.230e+06 9.028e+05 (J: 1.148e+06) 1.361991 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         lund_a    147 | 2.225e+07 2.225e+07 (J: 5.608e+04) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         lund_b    147 | 4.977e+07 9.277e+04 (J: 1.431e+05) 536.550531 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           mcca    180 | 3.930e+07 3.930e+07 (J: 3.712e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         nnc261    261 | 1.652e+07 3.338e+06 (J: 5.758e+06) 4.949879 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           nos1    237 | 4.188e+07 4.188e+07 (J: 4.473e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
2(L)                           nos4    100 | 2.492e+06 1.097e+06 (J: 1.136e+06) 2.271569 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           nos5    468 | 2.975e+07 2.128e+07 (J: 1.555e+06) 1.397967 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        plat362    362 | 5.995e+05 5.945e+05 (J: 7.967e+05) 1.008500 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       plskz362    362 | 7.743e+05 6.937e+05 (J: 8.058e+05) 1.116171 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        pores_1     30 | 2.774e+07 2.774e+07 (J: 7.514e+06) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         saylr1    238 | 5.185e+07 5.185e+07 (J: 2.695e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         steam1    240 | 5.359e+07 5.359e+07 (J: 2.477e+00) 1.000090 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         steam3     80 | 6.554e+07 6.554e+07 (J: 1.151e+00) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
1(L)                          str_0    363 | 7.511e+04 1.921e+03 (J: 4.686e+03) 39.095732 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        str_200    363 | 1.371e+07 5.805e+05 (J: 7.715e+05) 23.615950 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        str_400    363 | 1.912e+07 3.654e+05 (J: 1.067e+06) 52.329127 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        str_600    363 | 1.184e+07 4.538e+05 (J: 1.212e+06) 26.088719 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       west0067     67 | 1.696e+04 5.903e+03 (J: 7.326e+03) 2.872613 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       west0132    132 | 4.772e+07 4.199e+02 (J: 7.208e+02) 113633.524176 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       west0156    156 | 7.929e+07 7.928e+07 (J: 6.335e+04) 1.000054 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       west0167    167 | 4.772e+07 8.476e+02 (J: 1.147e+03) 56301.170582 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       west0381    381 | 2.245e+07 2.068e+02 (J: 4.687e+02) 108533.009000 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       west0479    479 | 4.737e+07 1.252e+03 (J: 2.064e+03) 37839.857417 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       west0497    497 | 5.540e+07 2.286e+03 (J: 4.163e+03) 24230.876553 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        will199    199 | 1.926e+07 1.086e+07 (J: 1.553e+07) 1.772448 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         will57     57 | 3.781e+07 2.534e+07 (J: 6.034e+07) 1.492061 T: 0.000000 || -1.000(-1) -1.000 
1(L)                            wm1    277 | 2.135e+07 7.925e+03 (J: 6.662e+04) 2693.919373 T: 0.000000 || -1.000(-1) -1.000 
1(L)                            wm2    260 | 6.315e+06 4.231e+05 (J: 5.324e+06) 14.924742 T: 0.000000 || -1.000(-1) -1.000 
1(L)                            wm3    260 | 9.514e+06 9.073e+05 (J: 1.103e+07) 10.486059 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        bfwa398    398 | 8.959e+06 1.684e+06 (J: 1.791e+06) 5.318540 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         bfwa62     62 | 3.059e+05 5.152e+04 (J: 5.508e+04) 5.937555 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        bfwb398    398 | 4.465e+02 2.567e+02 (J: 2.912e+01) 1.739453 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         bfwb62     62 | 2.958e+02 1.458e+02 (J: 2.729e+01) 2.028859 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         bwm200    200 | 5.820e+06 3.296e+06 (J: 3.292e+06) 1.766086 T: 0.000000 || -1.000(-1) -1.000 
1(L)                          ck104    104 | 2.987e+07 1.143e+06 (J: 1.406e+06) 26.124834 T: 0.000000 || -1.000(-1) -1.000 
1(L)                          ck400    400 | 3.284e+07 1.001e+06 (J: 1.210e+06) 32.815611 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         lop163    163 | 1.281e+06 5.708e+05 (J: 7.108e+05) 2.243719 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        mhda416    416 | 2.466e+07 3.820e+05 (J: 1.990e+06) 64.565364 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        mhdb416    416 | 4.824e+06 5.071e+01 (J: 6.303e+01) 95128.060243 T: 0.000000 || -1.000(-1) -1.000 
