3(L)                        494_bus    494 5.366e+07 3.773e+07 6.374e+07 0.296891 0.000000 | 0.000 0.000 | 0 0
3(L)                         abb313    176 3.719e+07 3.151e+07 6.779e+07 0.152833 0.000000 | 0.000 0.000 | 0 0
2(L)                         ash219     85 9.150e+00 4.194e+00 4.690e+00 0.541579 0.000000 | 0.093 0.010 | 27 18
1(L)                         ash292    292 4.188e+07 6.040e+06 2.645e+07 0.855788 0.000000 | 0.000 0.000 | 0 0
2(L)                         ash331    104 9.588e+00 3.668e+00 4.084e+00 0.617469 0.000000 | 0.094 0.014 | 25 17
2(L)                         ash608    188 1.138e+01 3.861e+00 4.317e+00 0.660595 0.000000 | 0.106 0.036 | 28 17
3(L)                          ash85     85 2.151e+05 1.283e+05 1.839e+05 0.403496 0.000000 | 0.715 0.009 | 193 231
2(L)                         ash958    292 1.025e+01 4.757e+00 4.317e+00 0.535855 0.000000 | 0.051 0.080 | 1 0
3(L)                       bcspwr01     39 2.756e+03 2.164e+03 2.559e+03 0.214776 0.000000 | 0.045 0.004 | 20 0
2(L)                       bcspwr02     49 1.856e+07 6.563e+06 1.200e+07 0.646473 0.000000 | 0.000 0.000 | 0 0
2(L)                       bcspwr03    118 2.514e+05 1.137e+05 1.814e+05 0.547642 0.000000 | 1.500 0.016 | 266 470
2(L)                       bcspwr04    274 2.558e+07 6.589e+06 2.436e+07 0.742365 0.000000 | 0.000 0.000 | 0 0
2(L)                       bcspwr05    443 2.681e+07 1.200e+07 1.764e+07 0.552557 0.000000 | 0.000 0.000 | 0 0
1(L)                       bcsstk02     66 1.871e+07 2.973e+06 4.023e+06 0.841086 0.000000 | 0.000 0.000 | 0 0
1(L)                       bcsstk05    153 2.982e+07 1.672e+06 3.286e+06 0.943950 0.000000 | 0.000 0.000 | 0 0
1(L)                       bcsstk06    420 2.109e+07 1.593e+04 3.030e+04 0.999245 0.000000 | 13.790 0.228 | 9240 886
1(L)                       bcsstk07    420 2.109e+07 1.593e+04 3.030e+04 0.999245 0.000000 | 13.506 0.217 | 8993 869
1(L)                       bcsstk22    138 6.194e+07 5.012e+05 7.312e+05 0.991909 0.000000 | 4.561 0.021 | 3358 1372
1(L)                       bcsstm01     48 7.782e+07 1.000e+00 1.000e+00 1.000000 0.000000 | 0.046 0.004 | 5 1
1(L)                       bcsstm02     66 7.660e+01 1.000e+00 1.000e+00 0.986945 0.000000 | 0.046 0.007 | 13 1
1(L)                       bcsstm03    112 5.569e+07 1.000e+00 1.000e+00 1.000000 0.000000 | 0.050 0.016 | 111 1
1(L)                       bcsstm04    132 2.987e+04 1.000e+00 1.000e+00 0.999967 0.000000 | 0.047 0.020 | 15 1
1(L)                       bcsstm05    153 1.612e+02 1.000e+00 1.000e+00 0.993798 0.000000 | 0.047 0.026 | 25 1
1(L)                       bcsstm06    420 5.512e+07 1.000e+00 1.000e+00 1.000000 0.000000 | 0.050 0.216 | 429 1
1(L)                       bcsstm07    420 4.456e+07 4.136e+04 7.454e+04 0.999072 0.000000 | 19.313 0.222 | 5353 1274
1(L)                       bcsstm22    138 8.860e+05 1.000e+00 1.000e+00 0.999999 0.000000 | 0.047 0.021 | 129 1
3(L)                         beacxc    506 6.260e+06 4.935e+06 2.212e+07 0.211669 0.000000 | 0.000 0.000 | 0 0
1(L)                         beaflw    507 5.595e+06 3.688e+05 1.148e+07 0.934079 0.000000 | 30.774 0.414 | 1102 445
1(L)                         beause    507 5.555e+06 3.957e+05 1.284e+07 0.928764 0.000000 | 31.796 0.415 | 1109 470
3(L)                        can_144    144 2.443e+07 2.256e+07 2.255e+07 0.076367 0.000000 | 0.000 0.000 | 0 0
3(L)                        can_161    161 4.940e+04 3.960e+04 4.615e+04 0.198256 0.000000 | 1.276 0.028 | 241 285
2(L)                        can_187    187 7.056e+07 3.191e+07 6.229e+07 0.547706 0.000000 | 0.000 0.000 | 0 0
3(L)                        can_229    229 1.891e+07 1.604e+07 1.929e+07 0.151527 0.000000 | 0.000 0.000 | 0 0
3(L)                         can_24     24 6.046e+03 4.025e+03 4.900e+03 0.334338 0.000000 | 0.124 0.002 | 39 36
2(L)                        can_256    256 7.565e+06 3.686e+06 6.533e+06 0.512763 0.000000 | 0.000 0.000 | 0 0
2(L)                        can_268    268 2.091e+07 8.414e+06 1.676e+07 0.597536 0.000000 | 0.000 0.000 | 0 0
3(L)                        can_292    292 3.699e+07 2.342e+07 1.324e+08 0.366954 0.000000 | 0.000 0.000 | 0 0
2(L)                        can_445    445 4.006e+07 1.346e+07 3.943e+07 0.663895 0.000000 | 0.000 0.000 | 0 0
2(L)                         can_61     61 2.996e+07 1.355e+07 2.925e+07 0.547665 0.000000 | 0.000 0.000 | 0 0
3(L)                         can_62     62 3.646e+05 2.100e+05 3.135e+05 0.423995 0.000000 | 0.433 0.006 | 95 157
3(L)                         can_73     73 1.270e+03 1.053e+03 1.228e+03 0.170424 0.000000 | 0.214 0.008 | 53 58
3(L)                         can_96     96 2.104e+04 1.733e+04 1.971e+04 0.176483 0.000000 | 0.427 0.012 | 109 120
2(L)                       curtis54     54 4.522e+07 1.366e+07 3.878e+07 0.697928 0.000000 | 0.000 0.000 | 0 0
3(L)                        dwt_162    162 3.306e+07 2.369e+07 3.449e+07 0.283480 0.000000 | 0.000 0.000 | 0 0
3(L)                        dwt_193    193 1.310e+07 1.037e+07 1.513e+07 0.208211 0.000000 | 0.000 0.000 | 0 0
