    Mat, Size, Cbef, Caft, Cdiag, Reduce,-log(1-Reduce), Time,Better,
abb313,176,3.719E+07,3.146E+07,6.779E+07,0.154092,0.072677,0.374230,2.155E+00,
ash219,85,9.15E+00,4.194E+00,4.69E+00,0.541579,0.338735,0.171661,1.11826418693371E+00,
ash292,292,4.188E+07,6.04E+06,2.645E+07,0.855788,0.840999,1.126949,4.37913907284768E+00,
ash331,104,9.588E+00,3.668E+00,4.084E+00,0.617469,0.417333,0.226226,1.113E+00,
ash608,188,1.138E+01,3.861E+00,4.317E+00,0.660595,0.469282,0.435684,1.118E+00,
ash85,85,2.151E+05,1.283E+05,1.839E+05,0.403496,0.224387,0.204586,1.433E+00,
ash958,292,1.025E+01,4.757E+00,4.317E+00,0.535855,0.333346,0.623655,9.075E-01,
bcspwr01,39,2.756E+03,2.164E+03,2.559E+03,0.214776,0.105006,0.743860,1.183E+00,
bcspwr02,49,1.856E+07,6.563E+06,1.2E+07,0.646473,0.451577,0.134231,1.82843211945757E+00,
bcspwr03,118,2.514E+05,1.137E+05,1.814E+05,0.547642,0.344518,0.274450,1.595E+00,
bcspwr04,274,2.558E+07,6.589E+06,2.436E+07,0.742365,0.588995,1.315488,3.697E+00,
bcspwr05,443,2.681E+07,1.2E+07,1.764E+07,0.552557,0.349262,0.819582,1.47E+00,
bcsstk02,66,1.871E+07,2.973E+06,4.023E+06,0.841086,0.798838,0.162481,1.353E+00,
bcsstk05,153,2.982E+07,1.672E+06,3.286E+06,0.943950,1.251424,0.596362,1.965E+00,
bcsstk06,420,2.109E+07,1.593E+04,3.03E+04,0.999245,3.122053,3.996074,1.90207156308851E+00,
bcsstk07,420,2.109E+07,1.593E+04,3.03E+04,0.999245,3.122053,4.016814,1.90207156308851E+00,
bcsstk22,138,6.194E+07,5.012E+05,7.312E+05,0.991909,2.091998,0.381385,1.459E+00,
bcsstm01,48,7.782E+07,1E+00,1E+00,0.999999987149833,7.89109122823096,0.105460,1E+00,
bcsstm02,66,7.66E+01,1E+00,1E+00,0.986945169712794,1.88422876963261,0.106136,1E+00,
bcsstm03,112,5.569E+07,1E+00,1E+00,0.999999982043455,7.74577722177669,0.176999,1E+00,
bcsstm04,132,2.987E+04,1E+00,1E+00,0.999966521593572,4.47523522260223,0.134561,1E+00,
bcsstm05,153,1.612E+02,1E+00,1E+00,0.993796526054591,2.2073650374691,0.158579,1E+00,
bcsstm06,420,5.512E+07,1E+00,1E+00,0.999999981857765,7.74130921185277,0.721068,1E+00,
bcsstm07,420,4.456E+07,4.136E+04,7.454E+04,0.999072,3.032452,4.501864,1.802E+00,
bcsstm22,138,8.86E+05,1E+00,1E+00,0.999999,6.000000,0.148473,1E+00,
can_144,144,2.443E+07,2.256E+07,2.255E+07,0.076367,0.034501,0.309114,9.996E-01,
can_161,161,4.94E+04,3.96E+04,4.615E+04,0.198256,0.095964,0.440638,1.16540404040404E+00,
can_187,187,7.056E+07,3.191E+07,6.229E+07,0.547706,0.344579,0.558273,1.952E+00,
can_229,229,1.891E+07,1.604E+07,1.929E+07,0.151527,0.071362,0.606216,1.203E+00,
can_24,24,6.046E+03,4.025E+03,4.9E+03,0.334338,0.176746,0.127885,1.21739130434783E+00,
can_256,256,7.565E+06,3.686E+06,6.533E+06,0.512763,0.312260,4.624222,1.772E+00,
can_268,268,2.091E+07,8.414E+06,1.676E+07,0.597536,0.395273,1.479174,1.992E+00,
can_292,292,3.699E+07,2.342E+07,1.324E+08,0.366954,0.198565,1.222109,5.653E+00,
can_445,445,4.006E+07,1.346E+07,3.943E+07,0.663895,0.473525,2.818335,2.929E+00,
can_61,61,2.996E+07,1.355E+07,2.925E+07,0.547665,0.344540,0.163705,2.159E+00,
can_62,62,3.646E+05,2.1E+05,3.135E+05,0.423995,0.239574,0.164177,1.49285714285714E+00,
can_73,73,1.27E+03,1.053E+03,1.228E+03,0.170424,0.081144,0.191222,1.166E+00,
can_96,96,2.104E+04,1.733E+04,1.971E+04,0.176483,0.084327,0.198430,1.137E+00,
curtis54,54,4.522E+07,1.366E+07,3.878E+07,0.697928,0.519890,0.146304,2.839E+00,
